PLAYER_ID,PLAYER_NAME,TEAM_NAME,POSITION,HEIGHT,WEIGHT,COUNTRY,D.O.B,DRAFT_CLASS,YEARS_IN_LEAGUE
1630173,Precious Achiuwa,Kings,Forward,'6-8,243,Nigeria,1999-09-19T00:00:00,2020,6
203500,Steven Adams,Rockets,Center,'6-11,265,New Zealand,1993-07-20T00:00:00,2013,13
1628389,Bam Adebayo,Heat,Center-Forward,'6-9,255,USA,1997-07-18T00:00:00,2017,9
1630534,Ochai Agbaji,Raptors,Guard,'6-5,215,USA,2000-04-20T00:00:00,2022,4
1630583,Santi Aldama,Grizzlies,Forward-Center,'7-0,215,Spain,2001-01-10T00:00:00,2021,5
1641725,Trey Alexander,Pelicans,Guard,'6-5,185,USA,2003-05-02T00:00:00,Undrafted,2
1629638,Nickeil Alexander-Walker,Hawks,Guard,'6-5,205,Canada,1998-09-02T00:00:00,2019,7
1628960,Grayson Allen,Suns,Guard,'6-3,198,USA,1995-10-08T00:00:00,2018,8
1628386,Jarrett Allen,Cavaliers,Center,'6-9,243,USA,1998-04-21T00:00:00,2017,9
1630631,Jose Alvarado,Pelicans,Guard,'6-0,179,USA,1998-04-12T00:00:00,Undrafted,5
203937,Kyle Anderson,Jazz,Forward-Guard,'6-8,230,USA,1993-09-20T00:00:00,2014,12
203507,Giannis Antetokounmpo,Bucks,Forward,'6-11,243,Greece,1994-12-06T00:00:00,2013,13
1630175,Cole Anthony,Bucks,Guard,'6-2,185,USA,2000-05-15T00:00:00,2020,6
1628384,OG Anunoby,Knicks,Forward-Guard,'6-7,240,United Kingdom,1997-07-17T00:00:00,2017,9
1642379,Taran Armstrong,Warriors,Guard,'6-5,190,Australia,2002-01-15T00:00:00,Undrafted,1
1630166,Deni Avdija,Trail Blazers,Forward,'6-8,228,Israel,2001-01-03T00:00:00,2020,6
1629028,Deandre Ayton,Lakers,Center,'7-0,252,Bahamas,1998-07-23T00:00:00,2018,8
1630542,Marcus Bagley,,Forward,'6-6,217,USA,2001-10-23T00:00:00,Undrafted,1
1628963,Marvin Bagley III,Wizards,Forward,'6-10,235,USA,1999-03-14T00:00:00,2018,8
1631116,Patrick Baldwin Jr.,Clippers,Forward,'6-9,220,USA,2002-11-18T00:00:00,2022,3
1630163,LaMelo Ball,Hornets,Guard,'6-7,180,USA,2001-08-22T00:00:00,2020,6
